연번	어휘		
1321	인삼		
1322	인원		
1323	인터넷		
1324	인형		
1325	일(day)		
1326	일(work)		
1327	일기		
1328	일기예보		
1329	일반		
1330	일본		
1331	일본어		
1332	일상		
1333	일상생활		
1334	일어나다		
1335	일요일		
1336	일주일		
1337	일찍		
1338	일하다		
1339	일흔		
1340	읽기		
1341	읽다		
1342	잃다		
1343	잃어버리다		
1344	입		
1345	입다		
1346	입맛		
1347	입원하다		
1348	입학		
1349	입학원서		
1350	있다		
1351	잊다		
1352	잊어버리다		
1353	잎		
1354	자(감탄사)		
1355	자(문구)		
1356	자기		
1357	자꾸		
1358	자다		
1359	자동차		
1360	자료		
1361	자루		
1362	자르다		
1363	자리		
1364	자세히		
1365	자신01		
1366	자유		
1367	자장면		
1368	자전거		
1369	자주		
1370	자취		
1371	작가		
1372	작년		
1373	작다		
1374	작은아버지		
1375	작은어머니		
1376	잔		
1377	잔치		
1378	잘		
1379	잘못		
1380	잘못하다		
1381	잘생기다		
1382	잘하다		
1383	잠		
1384	잠깐		
1385	잠시		
1386	잠옷		
1387	잠자다		
1388	잡다		
1389	잡수시다		
1390	잡지		
1391	잡채		
1392	장		
1393	장갑		
1394	장난감		
1395	장래		
1396	장마		
1397	장마철		
1398	장미		
1399	장소		
1400	장점		
1401	재료		
1402	재미없다		
1403	재미있다		
1404	저03		
1405	저기		
1406	저녁		
1407	저축하다		
1408	저희		
1409	적다(양)		
1410	적당하다		
1411	전(이전)		
1412	전공		
1413	전공하다		
1414	전부		
1415	전시회		
1416	전자레인지		
1417	전자사전		
1418	전자제품		
1419	전체		
1420	전혀		
1421	전화		
1422	전화기		
1423	전화번호		
1424	절		
1425	젊다		
1426	젊은이		
1427	점		
1428	점수		
1429	점심		
1430	점심(식사)		
1431	점심시간		
1432	점원		
1433	점점		
1434	접시		
1435	젓가락		
1436	정각		
1437	정거장		
1438	정도		
1439	정류장		
1440	정리		
1441	정리하다		
1442	정말		
1443	정문		
1444	정상		
1445	정식		
1446	정장		
1447	정하다		
1448	정확하다		
1449	젖다		
1450	제목		
1451	제일		
1452	제출하다		
1453	제품		
1454	조건		
1455	조금		
1456	조사		
1457	조심하다		
1458	조용하다01		
1459	조용히		
1460	조카		
1461	졸다		
1462	졸업		
1463	졸업식		
1464	졸업하다		
1465	좀		
1466	좁다		
1467	종교		
1468	종류		
1469	종업원		
1470	종이		
1471	종일		
1472	좋다		
1473	좋아하다		
1474	좌석		
1475	좌회전		
1476	죄송하다		
1477	주(일주)		
1478	주다		
1479	주말		
1480	주머니		
1481	주무시다		
1482	주문		
1483	주문하다		
1484	주변		
1485	주부		
1486	주사		
1487	주소		
1488	주스		
1489	주위		
1490	주유소		
1491	주의하다		
1492	주인		
1493	주인공		
1494	주차장		
1495	주차하다		
1496	주황색		
1497	죽		
1498	죽다		
1499	준비		
1500	준비하다		
1501	줄01		
1502	줄무늬		
1503	중		
1504	중간		
1505	중국		
1506	중국어		
1507	중심		
1508	중요하다		
1509	중학교		
1510	중학생		
1511	즐거워하다		
1512	즐겁다		
1513	증상		
1514	증세		
1515	지각		
1516	지각하다		
1517	지갑		
1518	지구		
1519	지금		
1520	지나가다		
1521	지나다		
1522	지내다		
1523	지다		
1524	지도		
1525	지붕		
1526	지역		
1527	지우개		
1528	지키다		
1529	지하		
1530	지하도		
1531	지하철		
1532	지하철역		
1533	직업		
1534	직원		
1535	직장		
1536	직접		
1537	직진하다		
1538	진지		
1539	진짜		
1540	질문하다		
1541	짐		
1542	집		
1543	집안일		
1544	짓다		
1545	짜다		
1546	짜리		
1547	짧다		
1548	쪽		
1549	쭉		
1550	쯤		
1551	찌개		
1552	찌다		
1553	찍다		
1554	찜질방		
1555	차 1		
1556	차05		
1557	차갑다		
1558	차다02		
1559	차례		
1560	차표		
1561	착하다		
1562	참		
1563	참기름		
1564	창		
1565	창구		
1566	창문		
1567	찾다		
1568	찾아가다		
1569	찾아오다		
1570	채소		
1571	책		
1572	책꽂이		
1573	책상		
1574	책임		
1575	책장		
1576	처방전		
1577	처음		
1578	천둥		
1579	천주교		
1580	천천히		
1581	첫		
1582	첫째		
1583	청바지		
1584	청소		
1585	청소기		
1586	청소하다		
1587	쳐다보다		
1588	초대		
1589	초대장		
1590	초대하다		
1591	초등학교		
1592	초등학생		
1593	초록색		
1594	초콜릿		
1595	촛불		
1596	촬영하다		
1597	최고		
1598	추다(춤)		
1599	추석		
1600	추억		
1601	추천하다		
1602	축구		
1603	축제		
1604	축하하다		
1605	출근		
1606	출근하다		
1607	출발하다		
1608	출장		
1609	출판사		
1610	춤		
1611	춥다		
1612	충분하다		
1613	충분히		
1614	취미		
1615	취소하다		
1616	취직		
1617	취직하다		
1618	취하다		
1619	층		
1620	치과		
1621	치다		
1622	치료		
1623	치료하다		
1624	치마		
1625	치약		
1626	친구		
1627	친절하다		
1628	친척		
1629	친하다		
1630	칠판		
1631	침대		
1632	칫솔		
1633	칭찬하다		
1634	카드		
1635	카메라		
1636	카페		
1637	칼		
1638	커튼		
1639	커피		
1640	커피숍		
1641	컵		
1642	케이크		
1643	켜다		
1644	코		
1645	코끼리		
